Model,MAE,RMSE,R2
LinearRegression,92.01712874512123,164.16753147889708,0.3434262576586895
DecisionTreeRegressor,91.21031808798196,174.5091852909999,0.2580996831031245
KNeighborsRegressor,91.0584037152491,168.93820301371764,0.30471202997668345
