Model,MAE,RMSE,R2,Rank_MAE,Rank_RMSE,Rank_R2,AvgRank
GradientBoosting,83.46794068336641,157.2623446217774,0.39749803570581244,2.0,1.0,1.0,1.3333333333333333
RandomForest,84.23000958497347,157.2624595202795,0.39749715530944485,3.0,2.0,2.0,2.3333333333333335
Ridge,89.15462133880128,159.4737930906864,0.38043393462071795,5.0,3.0,3.0,3.6666666666666665
XGBoost,84.60206696073443,159.7830310052067,0.37802878610169033,4.0,4.0,4.0,4.0
LinearSVR,78.55417064473883,166.68776274056572,0.32311263141694535,1.0,6.0,6.0,4.333333333333333
LinearRegression,92.01712874512123,164.16753147889708,0.3434262576586895,7.0,5.0,5.0,5.666666666666667
KNN,91.0584037152491,168.93820301371764,0.30471202997668345,6.0,7.0,7.0,6.666666666666667
DecisionTree,94.59224639757217,179.590620944389,0.2142646746975535,8.0,8.0,8.0,8.0
