Model,MAE,RMSE,R2
GradientBoosting,83.46794068336641,157.2623446217774,0.39749803570581244
RandomForest,84.23000958497347,157.2624595202795,0.39749715530944485
Ridge,89.15462133880128,159.4737930906864,0.38043393462071795
XGBoost,84.60206696073443,159.7830310052067,0.37802878610169033
LinearRegression,92.01712874512123,164.16753147889708,0.3434262576586895
LinearSVR,78.55575702420383,166.71918790116771,0.3228573841327399
KNN,91.0584037152491,168.93820301371764,0.30471202997668345
DecisionTree,94.59224639757217,179.590620944389,0.2142646746975535
