Model,MAE,RMSE,R2 Score
Linear Regression,0.00529796000093333,0.026136733396769807,0.9993418300790888
Random Forest,0.015861600000000378,0.035012830505401875,0.998818891329734
XGBoost,0.0240377752828598,0.04595967198055702,0.99796488359269
